Run,TID,L1_hit,L2_hit,DRAM_hit,N_accesses,N_mem_stalls,N_L2_mem_stalls,N_L2_miss_mem_stalls,L1_cycles,L2_cycles,DRAM_cycles
ft.B.x_LARC_A,27,59.92,37.262376,2.81762399999999,304058018,,,,,,
ft.B.x_LARC_A,28,59.98,37.206594,2.813406,303961271,,,,,,
ft.B.x_LARC_A,29,59.75,37.420425,2.82957500000001,303948877,,,,,,
ft.B.x_LARC_A,30,59.74,37.429722,2.83027799999999,303802809,,,,,,
ft.B.x_LARC_A,31,59.51,37.643553,2.846447,303621034,,,,,,
ft.B.x_LARC_C,0,59.74,36.552054,3.70794600000001,303968037,,,,,,
ft.B.x_LARC_C,1,60.03,36.288763,3.68123700000001,303982499,,,,,,
ft.B.x_LARC_C,2,59.92,36.388632,3.69136800000001,304061020,,,,,,
ft.B.x_LARC_C,3,59.47,36.797187,3.73281299999999,303766323,,,,,,
ft.B.x_LARC_C,4,59.21,37.033241,3.756759,303507256,,,,,,
ft.B.x_LARC_C,5,59.09,37.142189,3.76781099999999,303457285,,,,,,
ft.B.x_LARC_C,6,58.57,37.614297,3.81570300000001,303328892,,,,,,
ft.B.x_LARC_C,7,59.63,36.651923,3.71807700000001,303706723,,,,,,
ft.B.x_LARC_C,8,59.23,37.015083,3.75491700000001,303606709,,,,,,
ft.B.x_LARC_C,9,59.39,36.869819,3.74018100000001,303570856,,,,,,
ft.B.x_LARC_C,10,59.39,36.869819,3.74018100000001,303705710,,,,,,
ft.B.x_LARC_C,11,59.41,36.851661,3.738339,303590459,,,,,,
ft.B.x_LARC_C,12,59.8,36.49758,3.70242,303981720,,,,,,
ft.B.x_LARC_C,13,60.3,36.04363,3.65637000000001,304165294,,,,,,
ft.B.x_LARC_C,14,59.67,36.615607,3.714393,303904014,,,,,,
ft.B.x_LARC_C,15,59.19,37.051399,3.758601,303501125,,,,,,
ft.B.x_LARC_C,16,59.48,36.788108,3.73189200000002,303621706,,,,,,
ft.B.x_LARC_C,17,58.58,37.605218,3.81478200000001,303333343,,,,,,
ft.B.x_LARC_C,18,58.48,37.696008,3.823992,303192512,,,,,,
ft.B.x_LARC_C,19,59.49,36.779029,3.73097100000001,303776440,,,,,,
ft.B.x_LARC_C,20,60.46,35.898366,3.64163400000001,304269516,,,,,,
ft.B.x_LARC_C,21,58.22,37.932062,3.847938,303186678,,,,,,
ft.B.x_LARC_C,22,59.96,36.352316,3.687684,304093554,,,,,,
ft.B.x_LARC_C,23,59.66,36.624686,3.71531400000001,303731056,,,,,,
ft.B.x_LARC_C,24,59.01,37.214821,3.77517900000001,303510911,,,,,,
ft.B.x_LARC_C,25,59.14,37.096794,3.763206,303478944,,,,,,
ft.B.x_LARC_C,26,60.33,36.016393,3.65360699999999,304349752,,,,,,
ft.B.x_LARC_C,27,59.92,36.388632,3.69136800000001,304058018,,,,,,
ft.B.x_LARC_C,28,59.98,36.334158,3.68584200000001,303961271,,,,,,
ft.B.x_LARC_C,29,59.75,36.542975,3.707025,303948877,,,,,,
